comparison,current,historical_reference,status,impact,evidence
historical_hybrid_alpha,0.5,0.2,MISMATCH_CONCEPTS,Legacy hybrid prompt alpha is not RMT transport alpha.,configs/cir_dfg_rmt_v2.json; historical train.log
lambda_kg,0.001,0.01,MISMATCH,The historical model was trained with a tenfold larger KG coefficient.,configs/phase2b_canonical_v1.json; historical train.log
lambda_k,0.0,0.002,MISMATCH,The historical model used nonzero k regularization; V2 preregisters zero.,configs/phase2b_canonical_v1.json; historical train.log
matched_parent_checkpoint,"""MATCHED_PARENT_CHECKPOINT=NOT AVAILABLE""","""required for causal P/V0 control""",NOT_AVAILABLE,No checkpoint carrying the canonical parent config hash was found in the audited artifact family.,parent_config_sha256=d24cf... search across /home/ai4/caohuy artifacts
current_checkpoint_identity,"""CIR_DFG_RMT_V2; alpha=0.5; V2 direction""","""legacy adapter_10.pth has no CIR identity""",MISMATCH,The old adapter cannot be treated as a matched parent checkpoint.,V2 epoch checkpoint metadata; legacy adapter_10.pth
source_confirmation_model,"""fresh parent model; no checkpoint load""","""not a trained V2 medical control""",LIMITED,The preserved 120-image alpha curve confirms a source-side sign behavior only.,tools/cir_rmt/v2_source_confirmation.py:200-437; source_confirmation/REPORT.md
source_confirmation_identity,"""current config SHA 064e...""","""source artifact final identity 31827...""",MISMATCH_ADMINISTRATIVE,The source confirmation predates the alpha-status freeze and is not the current checkpoint identity.,source_confirmation/*.json; configs/cir_dfg_rmt_v2.json
data_roles,"""VisA train/source; six medical final test""","""VisA train; six medical test""",MATCH_WITH_CAVEAT,Medical samples are final-test evidence; no medical training was found.,scripts/canonical/README.md; dataset/hub/*.jsonl
checkpoint_artifact_manifest,"""run_manifest epochs=[]; target_epochs=[12..20]""","""training trajectory expected""",WEAK_PROVENANCE,The manifest has no history and records a pre-final evaluator commit; checkpoint nested metadata remains usable.,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/cir_rmt/CIR_DFG_RMT_V2/visa/seed0/run_manifest.json
lr_scheduler,"{""gamma"": 0.9, ""scheduler_step_call"": false, ""step_size"": 1, ""type"": ""StepLR""}","{""gamma"": 0.9, ""scheduler_step_call"": true, ""step_size"": 1, ""type"": ""StepLR""}",MISMATCH_CONFIRMED,CIR constructs and serializes StepLR but never advances it; all five CIR epoch checkpoint states remain at last_epoch=0 and initial image/text LRs.,"scripts/cir_rmt/train_full.py:148-166,224-250; train.py:359-420; runs/cir_rmt/CIR_DFG_RMT_V2/forensics_20260830/scheduler_audit_summary.json"
optimizer_hparams,"{""betas"": [0.9, 0.999], ""eps"": 1e-08, ""groups"": [""image_adapter"", ""text_adapter"", ""soft_prompt""], ""optimizer"": ""Adam"", ""weight_decay"": 0.0}","{""betas"": [0.9, 0.999], ""eps"": 1e-08, ""groups"": [""image_adapter"", ""text_adapter"", ""soft_prompt""], ""optimizer"": ""Adam"", ""weight_decay"": 0.0}",MATCH,"Serialized CIR optimizer groups match the canonical Adam hyperparameters; zero weight decay is global, so no group is accidentally exempt from a nonzero decay.",scripts/cir_rmt/train_full.py:72-77; train.py:_make_optimizer; scheduler_optimizer_group_detail.csv
soft_prompt_lr_policy,"""separate freeze/unfreeze policy with constant_lr=1e-4""","""same separate freeze/unfreeze policy""",MATCH_WITH_CAVEAT,The soft prompt is zero-LR while frozen and restored to constant_lr when unfrozen; this policy is distinct from StepLR and does not rescue the missing image/text scheduler updates.,scripts/cir_rmt/train_full.py:80-90; model/phase2b_schedule.py:60-66
soft_prompt_base_lr,0.0001,5e-05,MISMATCH_LEGACY,"The available historical parent log used soft_prompt_lr=5e-5, while the current canonical parent/CIR protocol uses 1e-4; this is a separate legacy mismatch from the missing StepLR call.","configs/phase2b_canonical_v1.json; historical train.log:1,11,127; scheduler_optimization_audit.csv"
